categoria,valor,consulta
Finalizado,4975,1 - Tramites por estado
Cancelado,3505,1 - Tramites por estado
activo,1520,1 - Tramites por estado
entrega,2976,2 - Paso donde más se cancelan trámites
Traspaso,2401,2 - Paso donde más se cancelan trámites
pago,1805,2 - Paso donde más se cancelan trámites
contrato,1212,2 - Paso donde más se cancelan trámites
cita,609,2 - Paso donde más se cancelan trámites
revision_doc,0,2 - Paso donde más se cancelan trámites
Duración promedio,17.484316037735848,3 - Promedio de duración de trámites
Finalizado,49.75%,4 - Porcentaje de trámites por estado
Cancelado,35.05%,4 - Porcentaje de trámites por estado
activo,15.2%,4 - Porcentaje de trámites por estado
